objectid,placeid,city,state,year,dockid,docknm
229,NY00156,Albany,NY,2017,113,CDPHP
230,NY00157,Buffalo,NY,2017,76,Reddy Bikes
231,NY00159,Long Beach,NY,2017,55,"Sobi Long Beach, NY"
232,NY00160,New York,NY,2017,3,Citi Bike
233,OH00164,Cincinnati,OH,2017,57,Cincy RedBike Bike
234,OH00165,Cleveland,OH,2017,"71, 79","Zagster Cleveland, UH Bikes"
235,OH00166,Columbus,OH,2017,58,COGO
236,OH00167,Dayton,OH,2017,47,Link Dayton B-cycle
237,OK00173,Oklahoma City,OK,2017,40,Spokies
238,OK00175,Tulsa,OK,2017,62,Townies
239,OR00175,Ashland,OR,2017,68,Zagster Jackson County
240,OR00176,Corvallis,OR,2017,94,Corvallis
241,OR00178,Medford,OR,2017,68,Zagster Jackson County
242,OR00179,Portland,OR,2017,74,BikeTown Portland
243,PA00180,Harrisburg,PA,2017,122,Harrisburg
244,PA00181,Philadelphia,PA,2017,43,Inde'go
245,PA00182,Pittsburgh,PA,2017,29,Healthy Ride (became POGOH in 2022)
246,SC00184,Charleston,SC,2017,84,Holy Spokes
247,SC00185,Greenville,SC,2017,44,Greenville B-cycle
248,SC00187,Spartanburg,SC,2017,23,Spartanburg B-cycle
249,SD00188,Rapid City,SD,2017,30,Rapid City B-cycle
250,TN00189,Chattanooga,TN,2017,54,Bike Chattanooga
251,TN00192,Nashville,TN,2017,21,Nashville B-cycle
252,TX00194,Austin,TX,2017,53,Austin B-cycle
253,TX00195,Corpus Christi,TX,2017,92,Corpus Christi
254,TX00196,Dallas,TX,2017,9,Fairpark B-cycle
255,TX00198,El Paso,TX,2017,8,El Paso B-cycle
256,TX00199,Fort Worth,TX,2017,10,Fort Worth B-cycle
257,TX00201,Houston,TX,2017,17,Houston B-cycle
258,TX00203,McAllen,TX,2017,28,McAllen B-cycle (RGV B-cycle)
259,TX00205,San Antonio,TX,2017,22,San Antonio B-cycle
260,UT00210,Salt Lake City,UT,2017,15,GreenBikes
261,VA00217,Danville,VA,2017,133,"City of Danville, VA"
262,VA00220,Richmond,VA,2017,136,RVA Bike Share
263,VA00221,Roanoke,VA,2017,106,Roanoke
264,WI00228,Madison,WI,2017,20,Madison B-cycle
265,WI00229,Milwaukee,WI,2017,50,Bublr Bikes
266,AL001,Birmingham,AL,2018,63,Zyp BikeShare
267,AL002,Huntsville,AL,2018,88,"Huntsville (became PACE, hybrid dockless, in 2018)"
268,AZ006,Phoenix,AZ,2018,37,Grid
269,AZ009,Tucson,AZ,2018,110,tugo
270,CA0012,Beverly Hills,CA,2018,81,Beverly Hills Bikeshare
271,CA0018,Long Beach,CA,2018,72,"Long Beach, CA Bikeshare"
272,CA0019,Los Angeles,CA,2018,73,Metro Bike Share Los Angeles
273,CA0023,Oakland,CA,2018,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
274,CA0025,San Diego,CA,2018,59,DiscoverBike (was DecoBike in 2016 and 2017)
275,CA0026,San Francisco,CA,2018,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
276,CA0029,San Ramon,CA,2018,75,BriteBikes
277,CA0033,Santa Monica,CA,2018,39,Breeze
278,CA0037,West Hollywood,CA,2018,80,WeHo Pedals
279,CO0038,Aspen,CO,2018,27,WE-cycle
280,CO0040,Boulder,CO,2018,11,Boulder B-cycle
281,CO0042,Denver,CO,2018,7,Denver B-cycle
282,CO0045,Longmont,CO,2018,90,Longmont
283,DC0046,Washington,DC,2018,56,Capital Bikeshare
284,FL00248,Fort Pierce/Port St Lucie,FL,2018,138,St Lucie County
285,FL0047,Aventura,FL,2018,85,Aventura
286,FL0050,Fort Lauderdale,FL,2018,12,Broward B-cycle
287,FL0055,Miami,FL,2018,5,Citi Bike Miami
288,FL0061,Orlando,FL,2018,32,Juice
289,FL0064,Tampa,FL,2018,33,Coast Bike Share
290,FL0065,West Palm Beach,FL,2018,31,Sky Bike WPB
291,GA0066,Atlanta,GA,2018,77,Relay Bike Share
292,GA0067,Carrollton,GA,2018,91,Carrollton
293,GA0068,Evans,GA,2018,45,Columbia County B-cycle
294,GA0070,Smyrna,GA,2018,70,Smyrna Bike Share
